link,heading
/hc/en-us/articles/360010601800-Use-Shortcuts-with-Todoist,Use Shortcuts with Todoist
/hc/en-us/articles/360003946939-Change-your-Todoist-app-icon-on-iOS,Change your Todoist app icon on iOS
/hc/en-us/articles/206432029-Add-a-Todoist-widget-on-your-iOS-device,Add a Todoist widget on your iOS device
/hc/en-us/articles/207697969-Add-task-via-voice-command-on-Apple-Watch,Add task via voice command on Apple Watch
/hc/en-us/articles/207221555-Using-Siri-with-Todoist,Using Siri with Todoist
